rollout/reward_mean_all,rollout/reward_sum_all,rollout/ep_rew_std_this_rollout,rollout/ep_rew_std_custom,rollout/success_rate,rollout/ep_len_std_this_rollout,time/fps,rollout/ep_len_mean_custom,rollout/ep_len_mean_this_rollout,rollout/ep_rew_mean_this_rollout,time/iterations,rollout/steps_this_iter,rollout/episodes_finished,rollout/ep_len_std_custom,rollout/reward_sum_finished_eps,time/time_elapsed,rollout/ep_rew_mean_custom,rollout/reward_std_all,time/total_timesteps,train/learning_rate,train/approx_kl,train/clip_fraction,train/loss,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss
-1.6264348196797074,-8327.346276760101,63.62006493838583,63.02648735908373,0.08888888888888889,43.545442262516225,1193,34.49,33.903703703703705,-54.9239512152142,1,5120,135,45.00166552473363,-7414.733414053917,4,-53.8782318341732,0.8433197724375378,5120,,,,,,,,,,
-1.5641715615056455,-8008.558394908905,66.9588898428643,62.50088224808171,0.0718562874251497,44.766597623182456,776,30.28,29.892215568862277,-47.740117114461114,2,5120,167,41.62525195118944,-7972.5995581150055,13,-47.784338881969454,0.6041924250665204,10240,0.0003,0.0067608384,0.06533203125,290.2177734375,210,431.2219879341126,-0.003286464128177613,0.2,0.4901021718978882,-1.040557753890753
-1.3745649622753262,-7037.77260684967,119.78184840560232,111.29086577751978,0.19753086419753085,91.57568166127334,708,50.17,55.76543209876543,-79.49800360497133,3,5120,81,84.53142078540971,-6439.338292002678,21,-72.2695352590084,0.6115798980449528,15360,0.0003,0.0038073943,0.02322265625,52.655216217041016,220,230.33946917533873,-0.0014308330131461843,0.2,0.7036659717559814,-0.9869191590696573
-1.4346994784660638,-7345.661329746246,112.00227217146184,113.69168926007573,0.10576923076923077,93.788778469047,669,49.21,48.60576923076923,-69.15614375701317,4,5120,104,95.37487037999057,-7192.23895072937,30,-69.75180188179016,0.5741831653221137,20480,0.0003,0.005575436,0.0521484375,55.62791061401367,230,169.16325112819672,-0.0031346403795760123,0.2,0.6125080585479736,-1.0299535239487887
-1.5622136544436216,-7998.533910751343,96.80895834520764,87.0871143734846,0.0738255033557047,77.11575748347349,689,34.88,39.52348993288591,-58.9413814560679,5,5120,149,63.34386789579557,-8782.265836954117,37,-54.193285830020905,0.5762616079654349,25600,0.0003,0.00581885,0.05380859375,54.700008392333984,240,135.8395568394661,-0.0033284396419185213,0.2,0.6947610974311829,-1.0193930416554213
-1.4894192880950867,-7625.8267550468445,92.40033985381459,99.70297343273504,0.06976744186046512,63.824838420469774,669,39.68,37.434108527131784,-57.39171866298646,6,5120,129,69.04388169852562,-7403.531707525253,45,-60.18575512886047,0.584239493919616,30720,0.0003,0.0035756766,0.03583984375,72.75193786621094,250,164.65640816926955,-0.002274674541258719,0.2,0.7452491521835327,-0.9073960769921541
-1.5323962218128144,-7845.86865568161,106.14443312756893,104.5363158945377,0.038461538461538464,83.21540594734996,656,38.4,38.89230769230769,-58.7263712479518,7,5120,130,80.67019276039943,-7634.428262233734,54,-58.42287443041801,0.5377622203061536,35840,0.0003,0.006104043,0.06689453125,77.60769653320312,260,113.75459007263184,-0.005013819422747474,0.2,0.8054519891738892,-0.9294017753750086
-1.429566277563572,-7319.379341125488,140.38218867935035,140.38218867935035,0.07,104.56162728267,649,51.81,51.81,-75.81430139660836,8,5120,100,104.56162728267,-7581.430139660835,63,-75.81430139660836,0.566362375045257,40960,0.0003,0.0029862893,0.02857421875,60.22560119628906,270,141.9982188463211,-0.0024215048097539693,0.2,0.7557051777839661,-0.8733433921635151
-1.5025934495031834,-7693.278461456299,90.89481169361252,93.66480787267919,0.15517241379310345,72.52718287816347,665,48.48,48.422413793103445,-69.89987484545543,9,5120,116,73.37049543242841,-8108.38548207283,69,-70.45980697512627,0.6581424443445483,46080,0.0003,0.0032953187,0.03857421875,84.63505554199219,280,132.8041826033592,-0.0023707675421610476,0.2,0.740678071975708,-0.8877132101356984
-1.6213207798078657,-8301.162392616272,75.36328232261977,84.44137483560387,0.03636363636363636,50.87740861198324,655,31.61,30.933333333333334,-50.30709833304088,10,5120,165,58.4172739863818,-8300.671224951744,78,-50.8095248067379,0.5190851713579682,51200,0.0003,0.0053084497,0.04267578125,70.8524398803711,290,155.35378183841706,-0.002623775602260139,0.2,0.726354718208313,-0.9198992560058832
-1.4938608452677726,-7648.567527770996,72.71347412427741,79.85840227585419,0.08609271523178808,54.131277969341326,648,33.73,32.62251655629139,-50.348384786915304,11,5120,151,62.279989563261815,-7602.606102824211,86,-49.81568180799484,0.5954087518954856,56320,0.0003,0.0068666623,0.0635546875,35.52320861816406,300,96.5237916624546,-0.002895524399355054,0.2,0.8368155360221863,-0.9915431178361177
-1.4485499469563365,-7416.575728416443,84.44521668977542,79.04484144924166,0.032,80.80320627301866,641,35.17,37.816,-54.24433814430237,12,5120,125,75.67880218396694,-6780.542268037796,95,-50.48107989430427,0.5876220180366444,61440,0.0003,0.00565032,0.0555859375,73.12335205078125,310,116.7638042497635,-0.0036305826617171987,0.2,0.7883377075195312,-1.0287916199862956
-1.4896341804414988,-7626.927003860474,103.95983985578653,112.66392560891275,0.046511627906976744,81.99206593487844,652,44.05,40.1937984496124,-59.785765556401984,13,5120,129,90.27218563876693,-7712.363756775856,101,-64.46253642439842,0.5467594639549106,66560,0.0003,0.0064686006,0.06423828125,70.2149429321289,320,92.43696320295334,-0.002176403548219241,0.2,0.8081974983215332,-0.9649027907848358
-1.5178456409834324,-7771.369681835175,93.28004039406105,94.71946406558543,0.0945945945945946,71.1544773157284,648,36.86,37.58108108108108,-55.62022213275368,14,5120,148,73.63504872002191,-8231.792875647545,110,-54.59569759964943,0.5779221213127214,71680,0.0003,0.0043225037,0.0271875,45.14014434814453,330,163.38774645090103,-0.0027652062961715275,0.2,0.7039797902107239,-0.8704651065170765
-1.5559983883053063,-7966.711748123169,95.26696477867927,106.59377841830576,0.07092198581560284,66.89460805695184,643,40.38,35.9290780141844,-56.66171430526896,15,5120,141,75.14742577094708,-7989.301717042923,119,-63.822739306688305,0.5622603239097326,76800,0.0003,0.004692916,0.05333984375,93.0498046875,340,138.05883583307266,-0.003125543775240658,0.2,0.7598265409469604,-0.8581630612909794
-1.575589075125754,-8067.01606464386,83.8548373359932,93.67357904224026,0.05517241379310345,61.836899504334426,653,41.77,36.06896551724138,-56.43780658245087,16,5120,145,70.57150345571505,-8183.481954455376,125,-64.73855153560639,0.528168518671843,81920,0.0003,0.005081928,0.04927734375,55.83790588378906,350,134.0616931295395,-0.002366823049378581,0.2,0.7904505729675293,-0.8633868525922298
-1.5682681066915394,-8029.532706260681,62.92719787350449,69.48662261513111,0.08426966292134831,41.69170127020108,649,29.56,27.584269662921347,-43.58199514699786,17,5120,178,46.61594576966126,-7757.595136165619,134,-46.68978748202324,0.582727085352159,87040,0.0003,0.005607738,0.07236328125,19.310989379882812,360,118.89659175395965,-0.003565066422597738,0.2,0.81080162525177,-0.8410749407112599
